communityname;state;countyCode;communityCode;fold;population;householdsize;racepctblack;racePctWhite;racePctAsian;racePctHisp;agePct12t21;agePct12t29;agePct16t24;agePct65up;numbUrban;pctUrban;medIncome;pctWWage;pctWFarmSelf;pctWInvInc;pctWSocSec;pctWPubAsst;pctWRetire;medFamInc;perCapInc;whitePerCap;blackPerCap;indianPerCap;AsianPerCap;OtherPerCap;HispPerCap;NumUnderPov;PctPopUnderPov;PctLess9thGrade;PctNotHSGrad;PctBSorMore;PctUnemployed;PctEmploy;PctEmplManu;PctEmplProfServ;PctOccupManu;PctOccupMgmtProf;MalePctDivorce;MalePctNevMarr;FemalePctDiv;TotalPctDiv;PersPerFam;PctFam2Par;PctKids2Par;PctYoungKids2Par;PctTeen2Par;PctWorkMomYoungKids;PctWorkMom;NumKidsBornNeverMar;PctKidsBornNeverMar;NumImmig;PctImmigRecent;PctImmigRec5;PctImmigRec8;PctImmigRec10;PctRecentImmig;PctRecImmig5;PctRecImmig8;PctRecImmig10;PctSpeakEnglOnly;PctNotSpeakEnglWell;PctLargHouseFam;PctLargHouseOccup;PersPerOccupHous;PersPerOwnOccHous;PersPerRentOccHous;PctPersOwnOccup;PctPersDenseHous;PctHousLess3BR;MedNumBR;HousVacant;PctHousOccup;PctHousOwnOcc;PctVacantBoarded;PctVacMore6Mos;MedYrHousBuilt;PctHousNoPhone;PctWOFullPlumb;OwnOccLowQuart;OwnOccMedVal;OwnOccHiQuart;OwnOccQrange;RentLowQ;RentMedian;RentHighQ;RentQrange;MedRent;MedRentPctHousInc;MedOwnCostPctInc;MedOwnCostPctIncNoMtg;NumInShelters;NumStreet;PctForeignBorn;PctBornSameState;PctSameHouse85;PctSameCity85;PctSameState85;LemasSwornFT;LemasSwFTPerPop;LemasSwFTFieldOps;LemasSwFTFieldPerPop;LemasTotalReq;LemasTotReqPerPop;PolicReqPerOffic;PolicPerPop;RacialMatchCommPol;PctPolicWhite;PctPolicBlack;PctPolicHisp;PctPolicAsian;PctPolicMinor;OfficAssgnDrugUnits;NumKindsDrugsSeiz;PolicAveOTWorked;LandArea;PopDens;PctUsePubTrans;PolicCars;PolicOperBudg;LemasPctPolicOnPatr;LemasGangUnitDeploy;LemasPctOfficDrugUn;PolicBudgPerPop;murders;murdPerPop;rapes;rapesPerPop;robberies;robbbPerPop;assaults;assaultPerPop;burglaries;burglPerPop;larcenies;larcPerPop;autoTheft;autoTheftPerPop;arsons;arsonsPerPop;ViolentCrimesPerPop;nonViolPerPop
Gallupcity;NM;NA;NA;3;19154;03.wrz;42370,00;49,83;43800,00;34,68;14,97;27,32;33909,00;29738,00;0,00;0,00;26622,00;83,51;0,85;27,74;17,15;17746,00;17777,00;29432,00;10559,00;13767,00;22905,00;6251,00;18186,00;7970,00;7821,00;4323,00;22,96;45597,00;24,92;16,23;28246,00;65,16;21306,00;26,85;33878,00;43613,00;21094,00;31,00;14,41;43628,00;17958,00;65,57;62,59;64,77;75,90;60,90;69,74;1237,00;43678,00;913,00;33939,00;20,26;26,94;38,01;0,62;0,97;46753,00;29587,00;59,51;28550,00;34973,00;13728,00;43468,00;43802,00;30348,00;62,85;35370,00;44,47;3,00;502,00;92,51;60,53;43191,00;33,47;1971,00;14,59;0,79;53200,00;68200,00;90000,00;36800,00;182,00;276,00;355,00;173,00;353,00;43489,00;43665,00;43536,00;88,00;18,00;28216,00;61,21;47,74;78,58;84,98;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43566,00;1675,50;0,20;NA;NA;NA;NA;0,00;NA;5,00;24,58;24,00;118,01;48,00;236,01;250,00;1229,23;299,00;1470,15;1992,00;9794,47;133,00;653,95;12,00;59,00;1607,83;11977,6
OaklandParkcity;FL;NA;NA;9;26326;lut.18;31747,00;83,17;43647,00;34639,00;43594,00;27,81;13485,00;21490,00;26326,00;100,00;27708,00;80,80;0,66;36,19;22,98;21641,00;22951,00;32611,00;15273,00;16645,00;8824,00;8089,00;9078,00;6748,00;9319,00;2685,00;13424,00;46569,00;21,69;17,46;22372,00;69,27;17838,00;43785,00;43595,00;21,62;43482,00;38,23;43696,00;43573,00;43679,00;63,04;59,90;70,87;56,28;67,88;74,23;962,00;46539,00;4372,00;20,29;34,58;45,17;55,63;13575,00;27150,00;43592,00;45536,00;79,46;22372,00;22341,00;32143,00;41671,00;42401,00;41306,00;49,64;46539,00;78,20;2,00;1778,00;87,19;49,29;43679,00;23,96;1971,00;25324,00;0,32;71400,00;89200,00;113000,00;41600,00;410,00;471,00;546,00;136,00;541,00;43673,00;43699,00;13,00;0,00;0,00;16,61;22,18;37,35;71,74;77,38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43622,00;3993,60;33635,00;NA;NA;NA;NA;0,00;NA;2,00;27912,00;27,00;91,20;179,00;604,65;268,00;905,28;970,00;3276,58;2440,00;8242,13;496,00;1675,45;2,00;27912,00;1607,89;13200,9
Richmondcity;VA;760;67000;7;203056;lut.38;55,22;43,35;0,88;0,93;13,35;43798,00;15,34;13,66;203056,00;100,00;23551,00;74,21;0,46;31,91;28,24;43374,00;15,96;29021,00;13993,00;20876,00;8676,00;16087,00;9641,00;12168,00;11581,00;40103,00;20,89;43508,00;31,91;24,24;15858,00;58,44;43435,00;27,61;43510,00;27,35;14,48;42,45;16,82;15,77;35462,00;45,21;38,54;54,76;49,69;63,65;70,49;18852,00;13,21;3720,00;43692,00;25,16;34,33;42,90;0,28;0,46;0,63;0,79;96,00;0,40;41760,00;32174,00;45689,00;14277,00;43801,00;49,25;43619,00;57,24;2,00;8804,00;90,65;46,30;32782,00;40,30;1953,00;16650,00;0,60;47700,00;66600,00;98200,00;50500,00;232,00;333,00;424,00;192,00;413,00;43612,00;43576,00;43599,00;287,00;3,00;30317,00;70,47;49,59;77,75;89,86;646,00;318,02;588,00;289,47;880656,00;433536,59;1363,20;318,00;70,30;72,60;43491,00;14246,00;0,00;27,24;30,00;11,00;73,70;62,30;3259,70;31747,00;266,00;31789916,00;91,02;5,00;23468,00;156498,00;122,00;60,06;174,00;85,66;1578,00;776,83;1411,00;694,62;5081,00;2501,32;11571,00;5696,27;2215,00;1090,42;170,00;83,69;1617,17;9371,7
Ocalacity;FL;NA;NA;9;42045;lut.42;23,79;74,89;0,63;42767,00;24442,00;23,73;24777,00;18,68;42045,00;100,00;21766,00;66,58;0,64;37,17;38,40;43344,00;18,39;26700,00;12783,00;15074,00;5507,00;13914,00;18751,00;9671,00;13465,00;8116,00;19,88;15980,00;28,38;16,73;43592,00;51,96;13,94;23,67;30651,00;43581,00;43509,00;26,69;43571,00;14,96;34366,00;58,65;51,67;61,82;57,96;53,82;65,43;2282,00;42887,00;1138,00;19845,00;43806,00;34213,00;21,44;0,15;0,19;0,27;0,58;94,69;0,70;28581,00;41699,00;12451,00;13912,00;47150,00;58,08;43586,00;54,84;2,00;2085,00;89,30;57,17;11383,00;35,88;1974,00;28307,00;0,45;43800,00;62900,00;89100,00;45300,00;190,00;294,00;387,00;197,00;392,00;43581,00;43606,00;43628,00;39,00;0,00;25965,00;44,47;46,16;73,34;83,65;119,00;220,22;115,00;212,82;73098,00;135274,00;614,30;220,20;89,18;85,71;14,29;0,00;0,00;14,29;10,00;11,00;150,80;43737,00;1406,20;0,14;109,00;6808625,00;96,64;0,00;43563,00;125999,30;4,00;43562,00;53,00;98,08;312,00;577,38;508,00;940,10;1143,00;2115,22;4197,00;7766,90;249,00;460,80;25,00;46,26;1622,96;10389,2
Berkeleycity;CA;NA;NA;8;102724;lut.36;18,77;62,14;14,78;13363,00;18,67;36,55;23,96;19603,00;102724,00;100,00;29737,00;77,71;0,80;54,24;18,52;30133,00;36495,00;44671,00;18720,00;23045,00;11134,00;10495,00;12829,00;8833,00;10281,00;16370,00;17,54;43773,00;25082,00;58,67;22767,00;62,44;34121,00;49,12;27851,00;49,04;43687,00;56,11;15,17;24077,00;30713,00;61,32;59,45;75,52;63,92;65,03;70,54;2535,00;19115,00;17278,00;43484,00;27,83;40,60;47,56;43499,00;24929,00;30468,00;8,00;79,15;43618,00;42461,00;44228,00;43467,00;15738,00;31048,00;50,30;20180,00;68,18;2,00;2282,00;95,01;43,59;31503,00;46,76;1939,00;18629,00;0,46;179300,00;261000,00;375800,00;196500,00;303,00;392,00;521,00;218,00;426,00;43492,00;25,00;43536,00;496,00;269,00;16,82;42,16;44,38;65,17;85,85;178,00;177,41;160,00;159,47;167800,00;167244,70;942,70;177,40;95,87;60,34;21,23;42156,00;22555,00;37,99;25,00;10,00;148,20;43687,00;9483,40;16,28;65,00;14433409,00;89,89;5,00;43569,00;143856,50;8,00;35612,00;35,00;34,88;815,00;812,30;773,00;770,44;2383,00;2375,11;7915,00;7888,81;1161,00;1157,16;64,00;63,79;1625,60;11484,9
Pomonacity;CA;NA;NA;3;131723;mar.61;14,43;57,02;24624,00;51,27;43481,00;32,83;16,31;43617,00;131723,00;100,00;32132,00;82,82;0,53;25,88;43603,00;43478,00;43507,00;34751,00;10728,00;12191,00;10359,00;11504,00;10714,00;7007,00;6930,00;23648,00;18,43;21,66;40,40;13,13;43686,00;60,30;26,29;17,92;24,25;19,68;43716,00;39,85;13,43;43780,00;35125,00;71,83;63,54;78,63;72,57;51,64;57,38;6699,00;41821,00;41589,00;20,77;32,01;42,67;55,28;20607,00;43779,00;13,47;17,45;50,43;17,57;21,98;16,93;19054,00;17227,00;21610,00;56,57;25,49;56,28;2,00;2023,00;94,74;57,43;42095,00;18,78;1963,00;23498,00;0,44;107600,00;134200,00;172000,00;64400,00;427,00;527,00;646,00;219,00;592,00;32,00;43703,00;43627,00;211,00;6,00;31,57;45,96;40,16;79,41;88,17;172,00;118,95;152,00;105,12;211982,00;146606,00;1232,50;119,00;70,97;86,05;17958,00;26512,00;27030,00;29190,00;7,00;13,00;105,70;43639,00;5570,20;45352,00;77,00;18258220,00;88,37;5,00;43650,00;126273,20;40,00;27,66;81,00;56,02;995,00;688,14;1237,00;855,50;2282,00;1578,22;3721,00;2573,43;1840,00;1272,54;389,00;269,03;1627,33;5693,2
Daytoncity;OH;113;21000;4;182044;lut.51;40,43;58,37;0,64;0,74;15,22;29,63;15,68;43477,00;182044,00;100,00;19779,00;69,08;0,34;27,28;28,83;43600,00;19,55;24819,00;9946,00;11312,00;8015,00;10592,00;9861,00;5529,00;9876,00;46480,00;26,53;27303,00;31,66;47453,00;14519,00;51,62;18,62;25,98;17,69;21,74;15,52;38,43;19,24;17,53;43468,00;49,22;43,22;51,14;48,38;49,49;58,68;15663,00;32051,00;2606,00;45627,00;18,00;29,36;35,99;0,18;0,26;0,42;0,52;96,11;0,37;42887,00;35855,00;15008,00;17199,00;12816,00;52,22;35096,00;54,84;2,00;7700,00;90,42;50,98;14,44;48,90;1946,00;30529,00;0,55;31800,00;43200,00;56200,00;24400,00;172,00;253,00;321,00;149,00;329,00;43553,00;43694,00;43659,00;406,00;5,00;15707,00;67,44;51,74;85,18;91,36;506,00;282,17;396,00;220,83;213229,00;118905,10;421,40;282,20;75,77;82,61;43693,00;0,40;0,20;17,19;12,00;12,00;256,00;57,00;3194,80;17715,00;270,00;31776600,00;78,26;0,00;13547,00;177199,20;49,00;27,32;269,00;150,01;1475,00;822,52;1129,00;629,58;4303,00;2399,53;9473,00;5282,53;2939,00;1638,91;260,00;144,99;1629,43;9466,0
LongBeachcity;CA;NA;NA;1;429433;02.lip;13,68;58,38;13,57;23,62;13,82;31,13;15,56;20699,00;429433,00;100,00;31938,00;77,65;0,52;35,44;43576,00;13089,00;13,73;36305,00;15639,00;20334,00;10518,00;12658,00;9544,00;6860,00;7758,00;69694,00;16,82;19664,00;24,49;23,22;19876,00;62,93;20,42;22,77;13,21;28,85;23682,00;41,43;15,94;13,78;13210,00;64,25;60,26;71,53;67,31;50,26;57,56;20207,00;43562,00;104150,00;19,87;31,62;45,72;61,08;30042,00;24654,00;43719,00;14,81;67,24;29830,00;36100,00;43282,00;22313,00;20121,00;23774,00;40,03;16,49;74,38;2,00;11413,00;93,30;40,96;14305,00;16,67;1955,00;46844,00;0,73;168700,00;222900,00;292600,00;123900,00;435,00;551,00;694,00;259,00;605,00;30,00;43490,00;43566,00;394,00;66,00;24,25;40,92;40,38;77,16;84,29;643,00;147,47;598,00;137,15;608430,00;139537,30;946,20;147,50;75,18;82,74;47239,00;43779,00;43556,00;16,64;27,00;8,00;277,00;51,80;8287,70;43530,00;192,00;80872872,00;93,00;5,00;43500,00;185473,80;126,00;43736,00;200,00;45,87;3717,00;852,46;3073,00;704,76;6780,00;1554,92;14108,00;3235,53;7626,00;1748,95;243,00;55,73;1631,98;6595,1
Memphiscity;TN;NA;NA;4;610337;lut.66;54,84;44,01;0,79;0,73;14,78;28,77;14,25;43507,00;610337,00;100,00;22674,00;75,99;0,65;25,63;26,16;31352,00;13,64;27178,00;11682,00;17569,00;6982,00;11110,00;11761,00;7129,00;9393,00;136123,00;22,96;32782,00;29,57;17,48;26146,00;57,95;17137,00;24,85;16,35;43609,00;13,21;36,62;17,43;15,52;44256,00;52,18;44,33;58,45;52,90;67,47;72,25;57756,00;22951,00;8298,00;21,32;28,55;39,13;47,49;0,29;0,39;0,53;0,65;96,21;0,59;13332,00;35886,00;21582,00;25965,00;15738,00;57,77;18019,00;51,48;2,00;18744,00;92,46;55,15;20790,00;34,37;1961,00;23498,00;0,53;41100,00;55700,00;77000,00;35900,00;183,00;282,00;368,00;185,00;373,00;43492,00;43544,00;43568,00;309,00;126,00;13150,00;63,97;53,84;88,00;89,82;1382,00;223,27;799,00;129,08;626556,00;101223,80;453,40;223,30;76,06;67,80;32,05;0,00;0,00;32,05;120,00;12,00;183,80;265,30;2300,90;25294,00;583,00;70093264,00;57,81;5,00;25051,00;113239,80;198,00;31,99;725,00;117,13;5366,00;866,91;3824,00;617,79;15314,00;2474,07;23434,00;3785,90;13289,00;2146,92;585,00;94,51;1633,81;8501,4
Tukwilacity;WA;NA;NA;1;11874;02.lis;13302,00;82,79;15158,00;24532,00;19998,00;30,87;43691,00;42583,00;11874,00;100,00;30141,00;84,74;0,32;39,91;43601,00;44348,00;43629,00;33460,00;15982,00;16824,00;12820,00;9296,00;13147,00;6981,00;9775,00;1103,00;12298,00;11780,00;15,18;19,28;28216,00;72,35;43609,00;43691,00;14,47;24,17;43787,00;38,73;20,19;43788,00;30713,00;64,70;62,08;78,45;65,34;58,72;68,84;217,00;34731,00;834,00;21,94;35,73;45,08;52,04;19725,00;18660,00;42795,00;24167,00;89,93;21186,00;19054,00;28856,00;43710,00;13181,00;33604,00;44,26;11414,00;71,75;2,00;333,00;94,42;39,32;0,30;21,62;1970,00;24869,00;0,00;73100,00;93900,00;121900,00;48800,00;374,00;433,00;512,00;138,00;488,00;43730,00;43515,00;43566,00;2,00;1,00;43503,00;51,78;39,89;75,63;83,39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43593,00;1404,90;43563,00;NA;NA;NA;NA;0,00;NA;3,00;23,46;41,00;320,61;70,00;547,39;95,00;742,88;301,00;2353,77;2481,00;19401,00;288,00;2252,11;14,00;109,48;1634,34;24116,4
Riversidecity;CA;NA;NA;9;226505;3;14427,00;70,79;44682,00;25,97;16,44;31,46;43724,00;43473,00;226505,00;100,00;34801,00;82,50;0,66;35,13;19,83;32721,00;15,42;40054,00;14235,00;16092,00;11890,00;12339,00;12045,00;7741,00;8373,00;26280,00;34639,00;30895,00;22,23;19,32;33390,00;62,31;16,66;24,97;14,75;26,24;35674,00;34,80;14,76;15311,00;43558,00;73,00;68,10;83,12;76,20;54,93;63,13;6242,00;35855,00;35060,00;16,36;27,88;37,43;49,06;19391,00;11414,00;28976,00;21732,00;74,97;35551,00;14154,00;19541,00;33635,00;43588,00;27426,00;58,86;30225,00;47,14;3,00;4777,00;94,05;56,27;15738,00;18,88;1969,00;23071,00;0,33;105200,00;134800,00;170300,00;65100,00;419,00;512,00;629,00;210,00;575,00;43645,00;43731,00;43535,00;174,00;12,00;15,48;50,09;40,25;68,49;89,05;954,00;392,82;623,00;256,53;69057,00;28435,00;72,40;392,80;94,12;75,58;35612,00;14,47;17168,00;23,27;20,00;9,00;146,80;80,50;2814,40;21186,00;378,00;83652896,00;65,30;5,00;43467,00;344450,50;33,00;13,59;131,00;53,94;1287,00;529,94;2524,00;1039,29;4975,00;2048,51;9635,00;3967,32;3562,00;1466,69;338,00;139,18;1636,75;7621,7
Artesiacity;CA;NA;NA;2;15464;mar.52;24139,00;55,96;16,26;40,05;43601,00;29,95;15,44;30926,00;15464,00;100,00;36383,00;79,72;0,55;43707,00;43821,00;43538,00;13,28;37332,00;12724,00;15281,00;11803,00;11880,00;11560,00;7712,00;9966,00;1403,00;46997,00;23,35;43,50;13,42;22798,00;59,24;22,82;19,19;22,85;18,85;43503,00;37,15;45962,00;45901,00;30011,00;77,51;68,41;80,52;76,13;64,85;63,77;497,00;43469,00;5873,00;13,72;43730,00;33,13;42,60;44317,00;43654,00;21520,00;16,18;43,12;43511,00;17,45;13,88;43558,00;19784,00;44256,00;58,81;22,23;58,14;2,00;140,00;96,91;56,42;15707,00;15,00;1963,00;43526,00;43466,00;150100,00;205800,00;260700,00;110600,00;513,00;639,00;778,00;265,00;700,00;27,00;43578,00;43688,00;0,00;0,00;37,98;40,87;54,08;84,10;88,86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43647,00;9248,80;42736,00;NA;NA;NA;NA;0,00;NA;3,00;19,15;3,00;19,15;90,00;574,53;161,00;1027,77;261,00;1666,13;333,00;2125,76;158,00;1008,62;9,00;57,45;1640,60;4858,0
PortArthurcity;TX;NA;NA;5;58724;lut.63;42,19;49,31;29677,00;44774,00;13,98;24,99;26238,00;15,39;58089,00;98,92;18548,00;65,65;0,54;28,39;35,92;20760,00;17,38;23155,00;9706,00;12939,00;6940,00;6551,00;4222,00;5299,00;6363,00;16344,00;43827,00;43662,00;34,55;10,00;28825,00;47,42;17,69;43700,00;18,56;17,46;11658,00;28,73;15,36;13,95;44986,00;61,16;57,16;65,77;65,58;59,48;63,92;2113,00;34029,00;4018,00;25538,00;17,77;43613,00;41,59;0,87;44562,00;34700,00;31079,00;84,32;13940,00;12632,00;27881,00;43618,00;23774,00;18660,00;66,27;17319,00;56,65;2,00;3420,00;86,72;65,01;43473,00;60,91;1956,00;13759,00;0,78;19100,00;30400,00;45800,00;26700,00;130,00;226,00;297,00;167,00;320,00;43734,00;43483,00;43598,00;21,00;1,00;30834,00;63,61;61,64;89,39;94,50;108,00;180,29;104,00;173,62;39639,00;66173,10;367,00;180,30;66,90;82,41;14,81;28522,00;0,00;17,59;6,00;9,00;117,60;80,00;734,10;43647,00;57,00;5437307,00;96,30;5,00;20576,00;90770,00;8,00;13,36;18,00;43615,00;246,00;410,67;713,00;1190,28;1404,00;2343,83;2401,00;4008,21;748,00;1248,71;55,00;91,82;1644,35;7692,6
LosBanoscity;CA;NA;NA;3;14519;03.kwi;25235,00;70,79;31778,00;35,94;14,51;26,83;32448,00;26238,00;0,00;0,00;24649,00;75,39;28157,00;28,78;26,45;17,34;11658,00;29481,00;11345,00;13122,00;6698,00;8554,00;19559,00;6119,00;6946,00;2780,00;43574,00;18,32;36,97;43781,00;44470,00;54,90;26207,00;20,98;16,27;43485,00;18142,00;43703,00;13,89;28430,00;14305,00;69,37;64,97;69,01;75,58;46,65;61,89;360,00;43710,00;2429,00;11658,00;43693,00;25,65;36,89;43618,00;29618,00;47209,00;42887,00;64,45;30864,00;26908,00;15523,00;34366,00;31444,00;43619,00;58,45;13,14;40,59;3,00;298,00;94,12;60,12;0,34;18,46;1969,00;43502,00;0,28;84200,00;113500,00;151600,00;67400,00;256,00;331,00;405,00;149,00;410,00;43736,00;43638,00;43689,00;17,00;0,00;16,73;59,19;51,15;76,42;92,99;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43503,00;2007,60;0,00;NA;NA;NA;NA;0,00;NA;0,00;0,00;4,00;22,19;19,00;105,40;274,00;1519,94;216,00;1198,20;793,00;4398,96;73,00;404,95;0,00;0,00;1647,53;6002,1
SantaMonicacity;CA;NA;NA;3;86905;sty.94;18719,00;82,80;14397,00;43599,00;22828,00;21,72;25051,00;43599,00;86905,00;100,00;35997,00;75,32;0,60;48,27;21,85;27851,00;13789,00;51085,00;29134,00;31506,00;13801,00;14193,00;26110,00;11390,00;13293,00;7979,00;13028,00;18749,00;18963,00;43,39;29677,00;65,83;18142,00;33,55;42856,00;46,61;13,78;43,11;18,43;16,26;43679,00;69,12;69,13;87,94;64,26;58,83;65,10;1624,00;19419,00;21990,00;16011,00;18,16;25,88;35,26;32540,00;43620,00;20241,00;33817,00;72,69;23833,00;44652,00;26665,00;32143,00;12086,00;25934,00;34,14;14001,00;81,69;2,00;2893,00;93,94;27,51;23529,00;40,41;1958,00;13150,00;0,44;393600,00;500001,00;500001,00;106401,00;381,00;498,00;648,00;267,00;532,00;43518,00;43610,00;43535,00;318,00;368,00;43549,00;33,13;52,78;84,79;88,29;161,00;184,03;139,00;158,89;112281,00;128344,60;697,40;184,00;91,85;71,43;11933,00;16,15;31413,00;27,33;6,00;9,00;67,40;43624,00;10143,00;15097,00;63,00;17231368,00;86,34;5,00;26724,00;196965,91;9,00;47392,00;49,00;56,01;716,00;818,44;671,00;767,00;1511,00;1727,17;6181,00;7065,29;1754,00;2004,94;137,00;156,60;1651,73;10954,0
Paducahcity;KY;NA;NA;6;27256;lut.28;20,89;78,40;0,33;0,57;32082,00;22,25;43475,00;19,33;0,00;0,00;17196,00;61,90;0,36;33,74;41,14;17502,00;43665,00;23665,00;11918,00;13514,00;6143,00;5195,00;6393,00;9371,00;4630,00;6305,00;23,81;14,51;30,99;14,56;18810,00;48,48;12724,00;43672,00;14,00;23,19;43720,00;24,56;16,26;14,81;31444,00;58,21;55,02;63,91;61,85;52,83;61,97;1209,00;43681,00;274,00;20972,00;43632,00;43493,00;42,70;0,07;0,16;0,28;0,43;97,10;0,39;47178,00;43498,00;44228,00;11720,00;43648,00;57,17;29587,00;57,42;2,00;1195,00;90,91;54,38;43160,00;47,95;1955,00;41548,00;0,56;24500,00;37800,00;64800,00;40300,00;132,00;190,00;269,00;137,00;257,00;43733,00;17,00;43628,00;19,00;0,00;43466,00;68,04;53,30;81,70;89,20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43514,00;1498,20;0,69;NA;NA;NA;NA;0,00;NA;4,00;14,76;25,00;92,24;57,00;210,31;364,00;1343,02;445,00;1641,88;1493,00;5508,62;143,00;527,62;1,00;25263,00;1660,33;7681,8
LaPuentecity;CA;NA;NA;2;36955;04.sty;19784,00;63,92;30864,00;74,86;18,71;35,04;17,86;24228,00;36955,00;100,00;33273,00;84,76;0,37;17,39;20,83;43630,00;30621,00;33997,00;9060,00;9243,00;11647,00;8241,00;9633,00;8032,00;7920,00;5143,00;43510,00;43608,00;49,37;16984,00;45170,00;59,94;43583,00;15,98;26,84;43629,00;44409,00;39,35;20790,00;13789,00;46478,00;72,33;60,50;82,44;76,36;48,48;57,14;1620,00;46508,00;13735,00;18,95;43524,00;36,24;46,57;43562,00;15250,00;13,47;17,31;33,11;17,59;26,78;43669,00;43620,00;45017,00;43680,00;63,40;32,60;47,08;3,00;266,00;97,14;60,93;32143,00;22,18;1959,00;43680,00;43497,00;130200,00;155400,00;173900,00;43700,00;396,00;547,00;683,00;287,00;606,00;31,00;43520,00;43657,00;0,00;1,00;37,17;47,92;53,77;87,77;89,79;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43619,00;10219,90;44682,00;NA;NA;NA;NA;0,00;NA;8,00;43575,00;18,00;45,89;171,00;435,97;456,00;1162,58;287,00;731,71;507,00;1292,61;396,00;1009,61;6,00;43539,00;1664,84;3049,2
Everettcity;MA;17;21990;3;35701;lut.46;42795,00;93,50;43678,00;30742,00;17107,00;28,31;13,17;14,76;35701,00;100,00;30786,00;75,25;0,18;39,13;31,65;21763,00;18,34;37397,00;14220,00;14344,00;13670,00;24170,00;11018,00;9485,00;8166,00;3399,00;43625,00;13394,00;43673,00;12359,00;21732,00;60,31;30286,00;43701,00;43536,00;20,97;27942,00;37,33;14185,00;26908,00;43588,00;69,68;69,25;73,37;69,90;45,85;59,40;790,00;32174,00;4039,00;15,42;23,64;28,57;32,85;27395,00;24504,00;44986,00;26359,00;84,18;43160,00;13971,00;32174,00;15738,00;24869,00;45689,00;45,64;19025,00;63,34;2,00;888,00;94,24;41,34;0,90;36,37;1939,00;24473,00;0,50;131700,00;156100,00;177000,00;45300,00;385,00;521,00;631,00;246,00;611,00;43490,00;43520,00;43659,00;0,00;0,00;11628,00;79,86;63,89;87,19;94,49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43588,00;10186,30;17,59;NA;NA;NA;NA;0,00;NA;1,00;33270,00;9,00;26,22;56,00;163,15;510,00;1485,80;334,00;973,05;707,00;2059,72;419,00;1220,68;0,00;0,00;1678,08;4253,5
Clevelandcity;OH;35;16000;10;505616;lut.53;46,56;49,49;43466,00;21641,00;13,56;43551,00;43782,00;25538,00;505616,00;100,00;17822,00;65,00;0,28;23,61;30,79;21,95;16,83;22448,00;9258,00;11161,00;7369,00;9015,00;7867,00;7305,00;6357,00;142217,00;28,67;19694,00;41,24;43624,00;14,00;47,78;43822,00;23,61;22,65;43571,00;14,82;39,67;43725,00;16,49;44256,00;47,21;41,50;51,60;49,78;48,14;55,61;50152,00;43508,00;20975,00;33878,00;16,64;22,39;27,98;0,45;0,69;0,93;42370,00;88,89;35796,00;28307,00;31138,00;17564,00;23774,00;11720,00;51,24;32540,00;54,91;2,00;24524,00;89,07;47,93;16,23;52,12;1939,00;35643,00;0,75;30200,00;40900,00;53700,00;23500,00;161,00;237,00;306,00;145,00;322,00;43553,00;43543,00;43629,00;589,00;105,00;42095,00;67,87;59,00;92,11;94,64;1761,00;355,70;1472,00;297,33;1016537,00;205330,30;577,20;355,70;77,43;72,06;24,59;47178,00;0,06;27,94;59,00;9,00;88,30;79,80;6336,30;14,25;550,00;99470664,00;83,59;5,00;12844,00;200920,80;167,00;33,73;834,00;168,46;4297,00;867,95;3012,00;608,39;8031,00;1622,18;13494,00;2725,65;10170,00;2054,24;656,00;132,51;1678,54;6534,6
Florencecity;SC;NA;NA;10;29813;lut.69;47,04;52,28;0,45;0,57;14,62;43704,00;34304,00;43509,00;29813,00;100,00;24906,00;74,40;46753,00;32,94;30,96;29891,00;13,95;31048,00;12831,00;19015,00;5919,00;2760,00;23257,00;5923,00;15387,00;6266,00;21,83;16,43;30,88;22,54;42887,00;56,82;43602,00;28,57;15,16;27,92;41913,00;35,50;14,99;31382,00;43525,00;56,80;48,79;62,59;60,58;64,59;73,22;2122,00;29799,00;452,00;21,24;43488,00;32,08;33,41;0,32;0,35;0,49;0,51;96,07;0,41;42186,00;32234,00;20852,00;23774,00;16834,00;59,21;28216,00;43,04;3,00;716,00;93,93;57,39;44958,00;44,69;1965,00;43625,00;0,94;41500,00;59200,00;90400,00;48900,00;149,00;243,00;346,00;197,00;367,00;43702,00;43726,00;43568,00;18,00;1,00;18994,00;75,73;55,09;83,50;90,02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43539,00;1951,10;45292,00;NA;NA;NA;NA;0,00;NA;1,00;43680,00;20,00;61,60;180,00;554,43;344,00;1059,57;629,00;1937,41;2108,00;6492,95;175,00;539,03;6,00;18,48;1678,68;8987,9
